#bytes,#iterations,BWpeak[MiB/sec],BWaverage[MiB/sec],MsgRate[Mpps]
64,5000,257.82,240.43,3.939193
128,5000,519.22,518.75,4.249605
256,5000,1034.85,965.36,3.954100
512,5000,2048.44,1866.75,3.823098
1024,5000,4132.26,3713.28,3.802397
2048,5000,8207.82,7367.67,3.772246
4096,5000,16303.77,14573.06,3.730702
8192,5000,23456.65,23425.51,2.998465
16384,5000,23413.61,22521.23,1.441358
32768,5000,23413.61,23016.83,0.736539
65536,5000,23413.61,23283.36,0.372534
131072,5000,23545.01,23544.25,0.188354
262144,5000,23545.92,23387.52,0.093550
524288,5000,23425.70,23404.72,0.046809
1048576,5000,23427.04,23366.87,0.023367
2097152,5000,23423.01,23362.34,0.011681
4194304,5000,23418.42,23344.47,0.005836
8388608,5000,23433.79,23368.50,0.002921
16777216,5000,23344.10,23343.36,0.001459
