#bytes,#iterations,BWpeak[MiB/sec],BWaverage[MiB/sec],MsgRate[Mpps]
64,5000,256.49,255.50,4.186096
128,5000,512.99,512.00,4.194279
256,5000,1020.72,956.29,3.916960
512,5000,2024.18,1855.26,3.799565
1024,5000,3994.29,3609.63,3.696256
2048,5000,7668.52,6945.98,3.556340
4096,5000,14860.73,13424.92,3.436780
8192,5000,23456.65,21436.17,2.743830
16384,5000,23413.61,22520.83,1.441333
32768,5000,23413.61,23028.33,0.736907
65536,5000,23417.19,23285.57,0.372569
131072,5000,23418.98,23418.15,0.187345
262144,5000,23277.47,23258.84,0.093035
524288,5000,23427.94,23427.69,0.046855
1048576,5000,23425.47,23393.60,0.023394
2097152,5000,23546.71,23370.59,0.011685
4194304,5000,23422.73,23343.91,0.005836
8388608,5000,23401.45,23356.21,0.002920
16777216,5000,23361.44,23356.35,0.001460
