#bytes,#iterations,BWpeak[MiB/sec],BWaverage[MiB/sec],MsgRate[Mpps]
64,5000,282.14,279.99,4.587408
128,5000,563.22,511.92,4.193682
256,5000,1120.12,1036.00,4.243438
512,5000,2219.46,2009.90,4.116276
1024,5000,4480.48,4443.08,4.549716
2048,5000,8861.40,7888.67,4.039001
4096,5000,17496.00,15389.24,3.939645
8192,5000,23456.65,23430.15,2.999059
16384,5000,23413.61,22512.01,1.440768
32768,5000,23413.61,23024.97,0.736799
65536,5000,23413.61,23285.90,0.372574
131072,5000,23418.98,23418.64,0.187349
262144,5000,23420.77,23256.31,0.093025
524288,5000,23466.98,23466.71,0.046933
1048576,5000,23453.06,23380.32,0.023380
2097152,5000,23452.16,23401.74,0.011701
4194304,5000,23546.54,23365.95,0.005841
8388608,5000,23398.54,23355.20,0.002919
16777216,5000,23338.42,23337.52,0.001459
