#bytes,#iterations,BWpeak[MiB/sec],BWaverage[MiB/sec],MsgRate[Mpps]
64,5000,266.08,247.28,4.051436
128,5000,532.16,494.97,4.054821
256,5000,1045.71,974.32,3.990805
512,5000,2087.76,1881.39,3.853089
1024,5000,4175.53,3748.54,3.838506
2048,5000,8351.06,8338.71,4.269417
4096,5000,16615.13,14765.19,3.779889
8192,5000,23456.65,21558.62,2.759504
16384,5000,23413.61,22514.99,1.440959
32768,5000,23413.61,23026.06,0.736834
65536,5000,23342.23,23042.56,0.368681
131072,5000,23417.19,23417.16,0.187337
262144,5000,23545.92,23385.29,0.093541
524288,5000,23415.85,23403.93,0.046808
1048576,5000,23411.15,23365.49,0.023365
2097152,5000,23466.76,23362.10,0.011681
4194304,5000,23449.63,23353.16,0.005838
8388608,5000,23399.77,23354.66,0.002919
16777216,5000,23365.08,23357.35,0.001460
