#bytes,#iterations,BWpeak[MiB/sec],BWaverage[MiB/sec],MsgRate[Mpps]
64,5000,282.68,261.00,4.276172
128,5000,562.17,517.33,4.237970
256,5000,1118.03,1116.14,4.571721
512,5000,2227.73,2021.75,4.140546
1024,5000,4463.77,3944.81,4.039490
2048,5000,8812.44,7845.26,4.016774
4096,5000,17337.52,15352.83,3.930323
8192,5000,22840.84,21070.78,2.697060
16384,5000,23413.61,22517.46,1.441117
32768,5000,23413.61,23024.74,0.736792
65536,5000,23296.06,22723.70,0.363579
131072,5000,23417.19,23416.40,0.187331
262144,5000,23414.50,23259.42,0.093038
524288,5000,23414.06,23406.66,0.046813
1048576,5000,23546.37,23384.39,0.023384
2097152,5000,23471.03,23371.70,0.011686
4194304,5000,23419.65,23354.40,0.005839
8388608,5000,23351.68,23345.64,0.002918
16777216,5000,23345.09,23344.86,0.001459
