message_size,rc_bw,rc_lat
64,280.00,6.47
128,554.00,6.21
256,1030.00,7.68
512,2090.00,8.07
1024,4580.00,6.18
2048,9000.00,6.76
4096,14600.00,8.54
8192,23900.00,11.90
16384,24400.00,12.40
32768,24300.00,14.30
65536,24500.00,15.00
131072,24500.00,17.70
262144,24500.00,22.10
524288,24500.00,33.70
1048576,24500.00,55.20
2097152,24400.00,97.70
4194304,24500.00,184.00
8388608,24500.00,356.00
16777216,24500.00,702.00
