message_size,rc_bw,rc_lat
64,267.00,8.10
128,518.00,7.49
256,956.00,7.45
512,2190.00,6.50
1024,4420.00,7.60
2048,6760.00,8.47
4096,17400.00,9.10
8192,24600.00,12.10
16384,24500.00,13.50
32768,24400.00,13.90
65536,24500.00,15.10
131072,24400.00,17.80
262144,24500.00,23.10
524288,24500.00,33.40
1048576,24500.00,53.60
2097152,24500.00,96.70
4194304,24500.00,184.00
8388608,24500.00,356.00
16777216,24500.00,697.00
