message_size,rc_bw,rc_lat
64,265.00,7.02
128,536.00,8.24
256,988.00,6.70
512,2200.00,8.76
1024,4570.00,7.21
2048,4770.00,6.96
4096,13500.00,7.94
8192,23900.00,11.80
16384,24400.00,11.80
32768,24400.00,12.40
65536,24500.00,14.30
131072,24500.00,17.00
262144,24600.00,24.50
524288,24500.00,32.90
1048576,24500.00,53.50
2097152,24500.00,98.00
4194304,24500.00,183.00
8388608,24500.00,357.00
16777216,24500.00,701.00
