message_size,rc_bw,rc_lat
64,264.00,7.60
128,500.00,7.82
256,1020.00,7.24
512,2200.00,6.75
1024,4470.00,6.40
2048,6390.00,6.77
4096,18300.00,9.16
8192,24300.00,12.00
16384,24500.00,13.10
32768,24300.00,13.70
65536,24500.00,15.10
131072,24400.00,17.70
262144,24500.00,23.20
524288,24500.00,32.90
1048576,24500.00,54.00
2097152,24400.00,98.70
4194304,24500.00,184.00
8388608,24500.00,357.00
16777216,24500.00,699.00
