message_size,rc_bw,rc_lat
64,269.00,8.10
128,397.00,7.27
256,1090.00,6.72
512,2000.00,7.57
1024,4670.00,6.44
2048,9290.00,7.56
4096,19000.00,9.80
8192,23600.00,12.10
16384,23900.00,13.00
32768,24300.00,14.00
65536,24300.00,15.30
131072,24500.00,18.10
262144,24600.00,24.70
524288,24500.00,34.00
1048576,24500.00,53.90
2097152,24500.00,98.40
4194304,24500.00,185.00
8388608,24500.00,357.00
16777216,24500.00,700.00
